,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,team,total,home,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,team_opp,total_opp,home_opp,season,date,won
3002,240.0,48.0,90.0,0.533,18.0,37.0,0.486,7.0,9.0,0.778,12.0,25.0,37.0,32.0,7.0,10.0,8.0,18.0,121.0,,,,11.0,19.0,1.0,5.0,10.0,1.0,3.0,4.0,1.0,3.0,5.0,8.0,6.0,3.0,2.0,4.0,4.0,24.0,21.1,17.0,PHI,121,0,240.0,40.0,83.0,0.482,10.0,28.0,0.357,17.0,18.0,0.944,10.0,27.0,37.0,27.0,2.0,9.0,14.0,11.0,107.0,,,,7.0,16.0,1.0,4.0,8.0,1.0,5.0,5.0,1.0,3.0,7.0,10.0,14.0,1.0,4.0,5.0,2.0,20.0,16.7,5.0,LAC,107,1,2024,2024-03-24,True
3003,240.0,40.0,83.0,0.482,10.0,28.0,0.357,17.0,18.0,0.944,10.0,27.0,37.0,27.0,2.0,9.0,14.0,11.0,107.0,,,,7.0,16.0,1.0,4.0,8.0,1.0,5.0,5.0,1.0,3.0,7.0,10.0,14.0,1.0,4.0,5.0,2.0,20.0,16.7,5.0,LAC,107,1,240.0,48.0,90.0,0.533,18.0,37.0,0.486,7.0,9.0,0.778,12.0,25.0,37.0,32.0,7.0,10.0,8.0,18.0,121.0,,,,11.0,19.0,1.0,5.0,10.0,1.0,3.0,4.0,1.0,3.0,5.0,8.0,6.0,3.0,2.0,4.0,4.0,24.0,21.1,17.0,PHI,121,0,2024,2024-03-24,False
3004,240.0,35.0,95.0,0.368,10.0,41.0,0.244,29.0,33.0,0.879,9.0,23.0,32.0,27.0,10.0,7.0,9.0,33.0,109.0,,,,8.0,14.0,0.571,3.0,9.0,0.429,9.0,9.0,1.0,3.0,6.0,7.0,11.0,3.0,4.0,3.0,6.0,20.0,19.3,0.0,IND,109,0,240.0,47.0,88.0,0.534,2.0,13.0,0.154,27.0,35.0,0.771,12.0,43.0,55.0,25.0,5.0,10.0,18.0,25.0,123.0,,,,16.0,24.0,0.667,1.0,3.0,0.5,10.0,13.0,1.0,5.0,15.0,20.0,7.0,2.0,4.0,6.0,5.0,41.0,38.5,0.0,LAL,123,1,2024,2023-12-09,False
3005,240.0,47.0,88.0,0.534,2.0,13.0,0.154,27.0,35.0,0.771,12.0,43.0,55.0,25.0,5.0,10.0,18.0,25.0,123.0,,,,16.0,24.0,0.667,1.0,3.0,0.5,10.0,13.0,1.0,5.0,15.0,20.0,7.0,2.0,4.0,6.0,5.0,41.0,38.5,0.0,LAL,123,1,240.0,35.0,95.0,0.368,10.0,41.0,0.244,29.0,33.0,0.879,9.0,23.0,32.0,27.0,10.0,7.0,9.0,33.0,109.0,,,,8.0,14.0,0.571,3.0,9.0,0.429,9.0,9.0,1.0,3.0,6.0,7.0,11.0,3.0,4.0,3.0,6.0,20.0,19.3,0.0,IND,109,0,2024,2023-12-09,True
3006,240.0,39.0,82.0,0.476,11.0,23.0,0.478,12.0,17.0,0.706,7.0,34.0,41.0,20.0,7.0,6.0,17.0,18.0,101.0,,,,11.0,20.0,1.0,3.0,5.0,1.0,4.0,6.0,1.0,3.0,12.0,12.0,6.0,2.0,3.0,4.0,3.0,26.0,19.0,11.0,NYK,101,0,240.0,36.0,87.0,0.414,14.0,40.0,0.35,16.0,19.0,0.842,9.0,31.0,40.0,25.0,9.0,8.0,13.0,14.0,102.0,,,,9.0,18.0,0.563,5.0,9.0,0.625,5.0,6.0,1.0,3.0,15.0,17.0,7.0,3.0,4.0,3.0,4.0,24.0,20.7,14.0,MIN,102,1,2021,2021-03-31,False
3007,240.0,36.0,87.0,0.414,14.0,40.0,0.35,16.0,19.0,0.842,9.0,31.0,40.0,25.0,9.0,8.0,13.0,14.0,102.0,,,,9.0,18.0,0.563,5.0,9.0,0.625,5.0,6.0,1.0,3.0,15.0,17.0,7.0,3.0,4.0,3.0,4.0,24.0,20.7,14.0,MIN,102,1,240.0,39.0,82.0,0.476,11.0,23.0,0.478,12.0,17.0,0.706,7.0,34.0,41.0,20.0,7.0,6.0,17.0,18.0,101.0,,,,11.0,20.0,1.0,3.0,5.0,1.0,4.0,6.0,1.0,3.0,12.0,12.0,6.0,2.0,3.0,4.0,3.0,26.0,19.0,11.0,NYK,101,0,2021,2021-03-31,True
3008,240.0,44.0,100.0,0.44,9.0,25.0,0.36,18.0,27.0,0.667,18.0,22.0,40.0,22.0,13.0,3.0,10.0,19.0,115.0,,,,9.0,14.0,0.643,3.0,5.0,1.0,5.0,8.0,1.0,10.0,6.0,11.0,8.0,3.0,2.0,2.0,3.0,21.0,16.4,15.0,LAC,115,0,240.0,46.0,81.0,0.568,13.0,35.0,0.371,23.0,29.0,0.793,10.0,35.0,45.0,28.0,4.0,7.0,20.0,22.0,128.0,,,,11.0,15.0,1.0,3.0,9.0,1.0,10.0,10.0,1.0,7.0,14.0,21.0,6.0,2.0,2.0,5.0,4.0,25.0,22.8,31.0,MIN,128,1,2023,2023-01-06,False
3009,240.0,46.0,81.0,0.568,13.0,35.0,0.371,23.0,29.0,0.793,10.0,35.0,45.0,28.0,4.0,7.0,20.0,22.0,128.0,,,,11.0,15.0,1.0,3.0,9.0,1.0,10.0,10.0,1.0,7.0,14.0,21.0,6.0,2.0,2.0,5.0,4.0,25.0,22.8,31.0,MIN,128,1,240.0,44.0,100.0,0.44,9.0,25.0,0.36,18.0,27.0,0.667,18.0,22.0,40.0,22.0,13.0,3.0,10.0,19.0,115.0,,,,9.0,14.0,0.643,3.0,5.0,1.0,5.0,8.0,1.0,10.0,6.0,11.0,8.0,3.0,2.0,2.0,3.0,21.0,16.4,15.0,LAC,115,0,2023,2023-01-06,True
3010,240.0,55.0,98.0,0.561,22.0,42.0,0.524,14.0,22.0,0.636,11.0,40.0,51.0,38.0,11.0,3.0,15.0,19.0,146.0,,,,10.0,17.0,1.0,6.0,7.0,0.857,3.0,4.0,1.0,5.0,12.0,15.0,7.0,2.0,1.0,3.0,4.0,29.0,22.1,32.0,NOP,146,0,240.0,40.0,94.0,0.426,15.0,42.0,0.357,15.0,21.0,0.714,9.0,30.0,39.0,29.0,6.0,6.0,13.0,15.0,110.0,,,,6.0,18.0,0.833,5.0,7.0,0.833,3.0,4.0,1.0,4.0,12.0,13.0,5.0,4.0,4.0,5.0,2.0,17.0,17.0,2.0,SAS,110,1,2024,2023-12-17,True
3011,240.0,40.0,94.0,0.426,15.0,42.0,0.357,15.0,21.0,0.714,9.0,30.0,39.0,29.0,6.0,6.0,13.0,15.0,110.0,,,,6.0,18.0,0.833,5.0,7.0,0.833,3.0,4.0,1.0,4.0,12.0,13.0,5.0,4.0,4.0,5.0,2.0,17.0,17.0,2.0,SAS,110,1,240.0,55.0,98.0,0.561,22.0,42.0,0.524,14.0,22.0,0.636,11.0,40.0,51.0,38.0,11.0,3.0,15.0,19.0,146.0,,,,10.0,17.0,1.0,6.0,7.0,0.857,3.0,4.0,1.0,5.0,12.0,15.0,7.0,2.0,1.0,3.0,4.0,29.0,22.1,32.0,NOP,146,0,2024,2023-12-17,False
