,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
4,32,50,0.39,30.0,105.2,107.8,-2.33,2009,New York Knicks
5,66,16,0.805,—,100.3,91.4,8.68,2009,Cleveland Cavaliers*
6,41,41,0.5,25.0,102.2,102.5,-0.16,2009,Chicago Bulls*
7,39,43,0.476,27.0,94.2,94.7,-0.36,2009,Detroit Pistons*
8,36,46,0.439,30.0,105.1,106.2,-0.76,2009,Indiana Pacers
9,34,48,0.415,32.0,99.3,100.4,-0.88,2009,Milwaukee Bucks
10,59,23,0.72,—,101.0,94.4,6.48,2009,Orlando Magic*
11,47,35,0.573,12.0,98.1,96.5,1.7,2009,Atlanta Hawks*
12,43,39,0.524,16.0,98.3,98.0,0.49,2009,Miami Heat*
13,35,47,0.427,24.0,93.6,94.9,-1.2,2009,Charlotte Bobcats
14,19,63,0.232,40.0,96.1,103.5,-6.98,2009,Washington Wizards
0,54,28,0.659,—,104.3,100.9,3.13,2009,Denver Nuggets*
1,54,28,0.659,—,99.4,94.1,5.0,2009,Portland Trail Blazers*
2,48,34,0.585,6.0,103.6,100.9,2.31,2009,Utah Jazz*
3,24,58,0.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves
4,23,59,0.28,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder
5,65,17,0.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers*
6,46,36,0.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns
7,29,53,0.354,36.0,108.6,112.3,-3.8,2009,Golden State Warriors
8,19,63,0.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers
9,17,65,0.207,48.0,100.6,109.3,-8.6,2009,Sacramento Kings
10,54,28,0.659,—,97.0,93.3,3.36,2009,San Antonio Spurs*
11,53,29,0.646,1.0,98.4,94.4,3.73,2009,Houston Rockets*
12,50,32,0.61,4.0,101.7,99.8,1.68,2009,Dallas Mavericks*
13,49,33,0.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets*
14,24,58,0.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
0,50,32,0.61,—,99.2,95.6,3.37,2010,Boston Celtics*
1,40,42,0.488,10.0,104.1,105.9,-1.83,2010,Toronto Raptors
2,29,53,0.354,21.0,102.1,105.9,-4.01,2010,New York Knicks
3,27,55,0.329,23.0,97.7,101.6,-3.93,2010,Philadelphia 76ers
4,12,70,0.146,38.0,92.4,101.5,-8.93,2010,New Jersey Nets
5,61,21,0.744,—,102.1,95.6,6.17,2010,Cleveland Cavaliers*
6,46,36,0.561,15.0,97.7,96.0,1.37,2010,Milwaukee Bucks*
7,41,41,0.5,20.0,97.5,99.1,-1.64,2010,Chicago Bulls*
8,32,50,0.39,29.0,100.8,103.8,-3.11,2010,Indiana Pacers
9,27,55,0.329,34.0,94.0,99.1,-5.02,2010,Detroit Pistons
10,59,23,0.72,—,102.8,95.3,7.12,2010,Orlando Magic*
11,53,29,0.646,6.0,101.7,97.0,4.44,2010,Atlanta Hawks*
12,47,35,0.573,12.0,96.5,94.2,1.99,2010,Miami Heat*
13,44,38,0.537,15.0,95.3,93.8,1.3,2010,Charlotte Bobcats*
